,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Data Scientist,$130K - $150K (Glassdoor Est.),"When you work at Allianz, you're part of a strong global insurer, helping to protect over 3 million Australians. We value diverse thinking, so your ideas and innovative mindset will be warmly welcomed. You'll experience a friendly environment working with talented people, where you'll be included and have your capabilities recognised. And you'll be supported to reach your full potential and enjoy an enriching career.

Data Scientist – Technical Division | NSW – Sydney

Opportunity to develop and embed AI across a variety of products
Work closely with senior data scientists & actuaries to uplift pricing capabilities
Allianz is a Flex Ready employer, flexible work options are available",4.0,"Allianz Australia
4.0",Sydney,10000+ Employees,1890,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
11,Position – Data Scientist,$110K - $150K (Glassdoor Est.),"Location – Sydney and Digital / Remote
Experience – Minimum 8 years
We are looking for a candidate with good command over R / Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm design, analysis, development, and performance improvement. Strong understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering, classification, regression techniques, recommendation (collaborative filtering) algorithms and Time series analysis.

We are eager to hear from you if you have one of the below mentioned skills. Send us your resume at careers@robonomics.ai",4.5,"Robonomics AI
4.5",Sydney,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
12,Junior Data Analyst/Scientist,$55K - $120K (Glassdoor Est.),"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",3.1,"International Institute of Data & Analytics
3.1",Sydney,201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
13,Data scientist,-1,"We have an exciting opportunity for a motivated and self-driven Data scientist to join our high performing dynamic data science team. In this position you will develop cloud-based applications and provide data science consulting to our clients. We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.
At Findex, we believe in Dynamic working.

This is our new way of thinking about an agile and flexible global workforce. It places trust in our team members to focus on the output and value of their client work, not the amount of time spent in the office.

We have an exciting opportunity for a motivated and self-driven Data scientist to join our high performing dynamic data science team. In this position you will develop cloud-based applications and provide data science consulting to our clients. We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.",3.3,"Findex
3.3",Australia,1001 to 5000 Employees,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,-1
14,Data Scientist - Procan Cancer Data Science (CDS),Employer Provided Salary:$100K - $110K,"Make an important contribution to the health of future generations through medical research
Work with a world-leading, independent medical research institute
Located in Westmead—Sydney’s and Australia’s foremost biomedical research precinct
Children’s Medical Research Institute (CMRI) was Australia’s first dedicated paediatric research facility and is now one of the world’s most highly regarded independent medical research organisations. Our research focuses on the four key areas impacting children’s health: cancer, genomics and genetic diseases, neurobiology, and embryology. Our strong international reputation is based on decades of significant research outcomes in these areas of specialty. CMRI is also home to the world-first proteomics project, ProCan, which is changing the way cancer is diagnosed and treated. CMRI’s research programs are supported by state of the art facilities and committed research and support staff. Our achievements are made possible by a loyal network of community supporters, highly engaged donors, and the very successful Jeans for Genes® and Great Cycle Challenge fundraising campaigns.",-1,Children's Medical Research Institute,Westmead,-1,-1,-1,-1,-1,-1
15,Data Scientist,$170K - $175K (Glassdoor Est.),"Company Description

Interested in building and executing geospatial analytics on top of millions of square kilometres of aerial imagery working closely with key property insurance customers? Nearmap is recruiting for a mid-level Data Scientist to join the AI Output Systems team within the AI Systems group.

Company Description:
Nearmap is a Sydney-based global location intelligence company. We have tens of petabytes of high quality aerial imagery covering half a million square kilometres a year at 5-7cm resolution, and regularly captured imagery dating back to 2009. We produce automated 3D models of entire cities, and rich AI-driven vector maps, which turns our visual content into semantic information to power decisions in a wide range of organisations.

In the AI Output Systems team we design, build, and operate software systems that transform aerial imagery to insight. Our technology stack is based on the Python scientific libraries and traverses deep learning technology such as Tensorflow and Pytorch, cloud native technology such as Kubernetes, Kubeflow and Kafka, and computational geometry / GIS tools such as the Shapely and GeoPandas libraries.

Nearmap is a high-growth company, the ideal candidate will embrace an environment where things happen quickly and continuously. We aim for all employees to feel supported in their career development, with an abundance of opportunities for mentorship and cross-functional team projects.",3.8,"Nearmap
3.8",Sydney,201 to 500 Employees,2007,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
16,Junior Data Scientist,$186K - $195K (Glassdoor Est.),"Junior Data Scientist - Sydney Office - Permanent Full Time

A great opportunity for a Junior Data Scientist to work closely with the Domain Home Loans team to solve complex business problems and deliver real business impact through propensity modelling, marketing optimisation, segmentation, and advanced analytics.

Who are you?
The ideal candidate will have
Some relevant commercial work experience and knowledge of the following fields: Statistical Modelling, Machine Learning and Advanced Analytics.",4.4,"Domain Group
4.4",Sydney,501 to 1000 Employees,1999,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD)
17,Data Scientist,$124K - $171K (Glassdoor Est.),"Location: Sydney
This position requires a thorough understanding of knowledge, concepts and processes within its job area
The position works autonomously with minimal supervision

Two of Australia’s leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. As the second largest telecommunications company listed on the ASX, TPG Telecom has a strong challenger spirit and a commitment to delivering the best services and products to our customers. We are driving competition and choice for businesses and consumers across Australia.",3.6,"TPG Telecom
3.6",North Sydney,501 to 1000 Employees,2020,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD)
18,Data Scientist,$93K - $128K (Glassdoor Est.),"Work type:
Full Time
Location:
Sydney
Job type:
Data & Analytics
Applications close:
Data Scientist",3.8,"Virgin Australia
3.8",Sydney,5001 to 10000 Employees,2000,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,Unknown / Non-Applicable
19,Data Scientist - Centre for Big Data Research in Health,Employer Provided Salary:$100K - $109K,"Job no: 511205
Work type: full time
Location: Sydney, NSW
Categories: Analyst, Clinical/Medical Research
Data Scientist -Centre for Big Data Research in Health
Employment Type: Full Time 35 hours per week
Duration: Fixed Term Contract – 12 months
Remuneration: $100,331-$108,588 + 17% superannuation
Location: UNSW Kensington Campus (Hybrid Working Opportunities)
About UNSW:",4.2,"University of New South Wales
4.2",Sydney,1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
20,Machine Learning Scientist,$108K - $138K (Glassdoor Est.),"Seeing Machines works with the world's leading OEMs to deliver state-of-the-art operator monitoring technology across our chosen transport sectors of commercial road transport (Fleet), automotive, and aviation. In Fleet, our best-in-class aftermarket product Guardian provides drivers and fleet operators real-time protection from distraction and fatigue events. In automotive, we enable safer Advanced Driver Assistance Systems (ADAS) and Automated Driving (AD) solutions. In aviation, our advanced gaze tracking technology understands how pilots interact and monitor instruments – leading to better training and safer operations.
The Algorithm Development Team brings cutting edge research in areas such as fatigue and distraction detection into occupant monitoring solutions. Take an example of fatigue detection, which is conceptually simple – just detect when someone looks tired, right? To develop this feature, there are many underlying details that need to be understood. For example, how do you collect a dataset safely? What is the true drowsiness level? How to account for individual behavioural differences? Algorithm Development Team members work closely with Human Factors Research Scientists, Data Acquisition Specialists and Machine Intelligence Researchers in order to make progress on these kinds of questions in order to develop features.
Aside from developing new features, the Algorithm Development Team also helps improve existing features that are currently used by customers. For example, making improvements to handle specific real-world corner cases, improving performance, etc.

About the opportunity
The Machine Learning Scientist will work directly with internal stakeholders to develop occupant monitoring features using state-of-the-art machine learning methods (e.g. NN, CNNs, RNNs), traditional computer vision techniques, or often a combination of both.
One aspect of feature development includes collaborating with Human Factors Research Scientists and Data Acquisition Specialists to help collect relevant, truthed datasets. Also required is working closely with our Performance Analysis Team to ensure that we can measure and validate the performance of the algorithms.


About you
We value the breadth and depth of experience that our people bring to their work. We are seeking people with a good mix of technical competency and personal capability. Specifically, we are looking for people with:

Desirable

How to apply
To apply, please upload your current resume and cover letter outlining your interest in the role. If you are successful for this opportunity a police check is required.
About Seeing Machines
Seeing Machines is currently in a consultation process around a proposed vaccination policy for its Australian offices. The policy proposes to require all employees and visitors to all Seeing Macjomes sites be fully vaccinated. Whilst the policy may or may not be implemented following consultation, Seeing Machines wants to ensure all candidates within our current recruitment processes were aware of this. Should a decision on the policy be made in the coming weeks, further correspondence will be circulated.
Seeing Machines is a world leader in driver-machine interaction. We harness human factors science to create artificial intelligence (AI) technology that observes the driver's attention – reliably, unobtrusively, and in real time – and intervenes seamlessly when necessary.
Specialised computer vision algorithms underpin Seeing Machines' core camera-based driver monitoring technology. Algorithms allow us to precisely track eye gaze, head position and pupil size while our state-of-the-art AI technology analyses the data to quickly and accurately detect driver drowsiness, distraction and microsleep levels. We work with some of the world's leading brands to deliver this technology, helping keep drivers and operators engaged across commercial transport and logistics, automotive, aviation, rail and mining industries.
In automotive, we enable safer Automated Driving (AD) solutions and Advanced Driver Assistance Systems (ADAS) – including the world first camera-based hands-free driving feature, GM Super Cruise. In aviation, our advanced gaze tracking technology understands how pilots interact and monitor instruments – leading to better training and safer operations.
For commercial transport and fleet operators, the Seeing Machines retrofit driver monitoring technology provides real-time intervention for drivers to mitigate the risks associated with driver fatigue and distraction.
https://www.seeingmachines.com/technology/",3.9,"Seeing Machines
3.9",Canberra,201 to 500 Employees,1999,Company - Public,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
21,Data & AI Opportunities | Perth,$51K - $61K (Glassdoor Est.),"Date: 31-Aug-2022

Location:
Perth, WA, AU

Department: Consulting

Description:
Job Requisition ID: 27414

Flexible work arrangements - work in a way that suits you best
World-class learning and leadership programs
Industry Leading clients

Whether you’re already located in Perth or considering a moving for the lifestyle at Deloitte, we’re on the lookout for inspired people from all walks of life.

Our Data & AI in Perth is growing more than ever as our clients recognise our talent and the impact that we make – that’s why we need you.

About the team

Deloitte’s Data Analytics & AI practice in Perth is a diverse team comprised of experts across strategy, insight advisory, data engineering, data science and automation. We have a dedicated focus on solving business problems for our clients. Our services range from helping clients understand the potential of Analytics & AI through to designing and implementing solutions. We constantly evaluate new technologies, experiment with new techniques and create leading-edge data and analytics assets that can be used by our clients and practitioners to drive success with Data Analytics & AI.

You will be part of a close, collaborative team that identifies and builds solutions that are practical as well as visionary, and that make an impact that matters. We are currently hiring at Consultant / Senior Consultant levels.


We’re looking for candidates with a combination of the following:

At least 2-4 years’ experience in Data Engineering, Feature Engineering, Software Development and/or Data Science Model Development using advanced statistical and machine learning techniques
Demonstrable experience of one or more relevant programming languages, such as Python, R, Julia, or similar
Experience of different project life cycles and delivery methodologies (waterfall, scrum, agile)
Experience with cloud services (Amazon Web Services, Microsoft Azure or Google Cloud Platform)
Demonstrable experience working in a consulting environment or managing non-technical stakeholders is ideal.
Strong oral and written communication skills, including presentation skills (MS PowerPoint, Word, Excel, Visio)
Data Governance and project management skills will be highly regarded
Bachelor or MS degree in Mathematics, Statistics, Engineering or similar quantitative disciplines.

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space.",4.0,"Deloitte
4.0",Perth,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
22,Data Scientist,-1,"ABOUT THE BUSINESS:
Established in 2010, ITSM (www.itsmcorp.com) is a member of the global ICT team - The Infinite Group (www.infinitesolutions.com). ITSM deliver people solutions, ICT infrastructure support & technology across Australia, New Zealand, Singapore and the Philippines, with affiliated Infinite group offices throughout Europe.
ABOUT THE ROLE:
As a Data Scientist, you will assist the Senior Manager and the Insights & Data Science team in building and operationalising Machine Learning models in order to drive process efficiencies, risk analytics, client insights, client retention and performance profiling. Additionally, this includes promoting data science awareness, advocacy, and occasional support relating to member engagement initiatives such as applying data science techniques to analysis or coaching to enhance the client's reputation in this innovative market segment.",-1,ITSM Corp Pty Ltd,Sydney,-1,-1,-1,-1,-1,-1
23,Data Scientist,$80K - $110K (Glassdoor Est.),"Overview:
Systems Planning and Analysis Australia Pty Ltd (SPA Australia) provides operational analysis and decision support services to the Department of Defence. We draw on a range of data and information sources in order to generate information-rich, user-friendly products that provide insights and recommendations to enhance Defence capability. SPA Australia is growing Australia's sovereign capability through local upskilling of its workforce by drawing on processes and tools used by our parent company SPA US, which has supported the US Department of Defense for the past 49 years. We provide formal and informal training opportunities for our team members.

SPA has a near-term need for a Junior Data Scientist/Analyst to work within a small, highly specialised team to collate, wrangle, transform, analyse and visualise a diverse range of sensitive data in support of specific current and future Navy capabilities.
Responsibilities:


Qualifications:",4.1,"Systems Planning and Analysis, Inc.
4.1",Canberra,1001 to 5000 Employees,1972,Company - Private,Aerospace & Defence,Aerospace & Defence,$100 to $500 million (USD)
24,Customer Facing Data Scientist,$110K - $150K (Glassdoor Est.),"Influence company’s perception of AI and unstructured data!
Relevance AI is reimagining the data people use. Our platform enables better decision-making and insights by taking all data into account, both structured and unstructured. We transform what is today a manual, labour-intensive and inefficient process into a collaborative, automated and measurably impactful process. We’re built for and loved by people in business and data teams who want to get the most from their treasure trove of data.
We’re a close and collaborative team from different expertise and walks of life. We’ve got a big vision and a clear plan on how to get there. We’re looking for someone like you to help us get there.
Why is Relevance the next success story?
View job location on map",5.0,"Relevance AI
5.0",Sydney,1 to 50 Employees,2004,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD)
25,Data Science Research Scholarships 2022,Employer Provided Salary:$13 Per Hour,"THE OPPORTUNITY
The summer scholarship program offers currently enrolled undergraduate students the opportunity to carry out research projects during summer 2022/2023. The program will run for 8-10 weeks and we have 7 opportunities available. The scholarship will be up to a value of $5000, dependent on duration in the program ($500 per week).
These projects provide hands-on research experience across a range of topics:
Project 1: Investigating DNA methylation landscape of oesophageal cancer using cutting-edge nanopore long-read sequencing
Oesophageal cancer is a poor prognosis cancer and is often diagnosed at late stages. High mutation burden and genome rearrangements are common in this cancer type. The overall aim of this project is to investigate the relationship between the methylation landscape and genomic instability. Nanopore sequencing is an exciting technology enabling simultaneous whole genome sequencing and methylation profiling. This project is suitable for a motivated student familiar with genome data and interested in investigating nanopore methylation profiles in unstable genomic regions of oesophageal cancer.",3.5,"The Garvan Institute of Medical Research
3.5",Sydney,501 to 1000 Employees,Non-profit Organisation,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1
26,Data Analytics Graduate,$78K - $95K (Glassdoor Est.),"At Allianz, we care for all the things that make you, you. For feeling like you belong. For a place where learning never stops. For growing new skills and opening up exciting possibilities. For your curiosity to thrive and help transform an industry. And when life twists, there’s flex for balance and the support you need. So, come and share your ideas, give back and feel proud to be part of a company doing work that matters across climate change and mental health. Let’s care for everyone’s tomorrow so we can create a better future together.
We know that flexible work comes in different forms, that’s why we’re embracing hybrid teams - enabling employees to maintain a balance of working both in the office and remote, supporting the needs of both the business and individual.

Data Analytics Graduate | NSW – Sydney
Be supported to grow and develop your career
Push the status quo",4.0,"Allianz Australia
4.0",Sydney,10000+ Employees,1890,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
27,Data Scientist (Recommendation Focused),$109K - $120K (Glassdoor Est.),"Job no: XRAN6
What you'll be doing The ideal candidate for this position will build recommendation models that score/rank products according to feature similarity/distance using historical data or product details. You will be expected to develop AI/ML models predicting target variables according to the business needs. To be able to analyse data, identify the potential use cases, build predictive models, build recommendation engines, and advise the optimal solutions to maximise/minimise target variables.
You Could Expect Your Typical Day To Include Some Of The Following Things:
The time is now to be part of the Catch team. No two days are alike, and we are embarking on remarkable growth.",2.8,"Catch Of The Day
2.8",Melbourne,501 to 1000 Employees,2006,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD)
28,DigitalBCG | GAMMA Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.",4.4,"Boston Consulting Group
4.4",Melbourne,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
29,Data Scientist,$100K - $120K (Glassdoor Est.),"Company Description

Since we first opened our doors in 2009, the world of commerce has evolved immensely – and so has Square. After enabling anyone to take a payment and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together. So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book appointments, engage loyal buyers, and hire and pay staff. And across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow all in one place.

Today, we’re a partner to sellers of all sizes – large, enterprise-scale businesses with complex commerce operations, sellers just starting out, as well as merchants who began selling with Square and have grown larger over time. As our sellers scale, so do our solutions. We all grow together.

There is a massive opportunity in front of us. We’re building a business that is big, meaningful, and lasting. And we are helping sellers around the world do the same.",3.6,"Afterpay
3.6",Sydney,1001 to 5000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $25 million (USD)
30,Senior Data Scientist,$144K - $170K (Glassdoor Est.),"Senior Data Scientist
VGW is a fast-growing technology company and creator of market-leading online social games. With offices across Australia, USA, Canada, Malta and the Philippines we are on a mission to be the biggest gaming company in the world!
Due to major growth we are expanding our Technology team in Sydney and currently looking for a Senior Data Scientist to join the team.
As a Senior Data Scientist, you'll identify, scope and lead the undertaking of a range of research and modelling projects leveraging all available data assets to help solve complex business problems.
Key responsibilities will include:",3.9,"VGW
3.9",Sydney,501 to 1000 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
31,Data Analyst - Finance Data & Analytics,-1,"The purpose of the role and your unique contribution is to contribute to the development of advanced analytical reporting to deliver insights to the Finance Function, and the broader business teams, so that the company can meet its Business Strategy & Operational Effectiveness Goals.

In this role you will:


Maintain and improve the current data workflows for Finance
Enhance existing datasets and ensure their integrity
Create new finance datasets to enhance finance reporting",4.7,"Mars Recruitment
4.7",Sydney,1 to 50 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
32,Research Scientist - Efficient machine learning for time-series data,Employer Provided Salary:$103K,"The Opportunity
Our Distributed Sensing Systems (DSS) group is one of the leading large-scale sensing and analytics groups in the world, based in Brisbane, Queensland, Australia. We are part of the Cyber-Physical Research Program at CSIRO’s Data61 Business Unit. The group’s research focuses on creating integrated sensing, AI/ML, and telemetry technologies that will radically improve the cost and quality of data gathering on a large scale to enhance the understanding of our natural and built environments.
An innovative and collaborative workplace with fantastic flexibility
Work in a world-class research & development precinct
Join CSIRO and support Australia's premier scientific organisation!
This is a research scientist position, expected to conduct research on efficient machine learning algorithms for time-series data on edge devices and implement such algorithms on edge hardware, for projects in digital agriculture – eGrazor, digital manufacturing – FDMF/Maven, and smart building/digital twin domains. Specifically, the position will develop lightweight ML models to analyse multi-modal time-series data from multiple edge devices and sensors such as temperature/humidity, or accelerometer, to understand/classify the context in which a sensor device operates, or identify activities of the target object.",3.7,"CSIRO
3.7",Brisbane,5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD)
