Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,cleaned_salary,min_salary,max_salary,avg_salary,Founded_int,age
Machine Learning Scientist,$108K - $138K (Glassdoor Est.),"Seeing Machines works with the world's leading OEMs to deliver state-of-the-art operator monitoring technology across our chosen transport sectors of commercial road transport (Fleet), automotive, and aviation. In Fleet, our best-in-class aftermarket product Guardian provides drivers and fleet operators real-time protection from distraction and fatigue events. In automotive, we enable safer Advanced Driver Assistance Systems (ADAS) and Automated Driving (AD) solutions. In aviation, our advanced gaze tracking technology understands how pilots interact and monitor instruments – leading to better training and safer operations.
The Algorithm Development Team brings cutting edge research in areas such as fatigue and distraction detection into occupant monitoring solutions. Take an example of fatigue detection, which is conceptually simple – just detect when someone looks tired, right? To develop this feature, there are many underlying details that need to be understood. For example, how do you collect a dataset safely? What is the true drowsiness level? How to account for individual behavioural differences? Algorithm Development Team members work closely with Human Factors Research Scientists, Data Acquisition Specialists and Machine Intelligence Researchers in order to make progress on these kinds of questions in order to develop features.
Aside from developing new features, the Algorithm Development Team also helps improve existing features that are currently used by customers. For example, making improvements to handle specific real-world corner cases, improving performance, etc.

About the opportunity
The Machine Learning Scientist will work directly with internal stakeholders to develop occupant monitoring features using state-of-the-art machine learning methods (e.g. NN, CNNs, RNNs), traditional computer vision techniques, or often a combination of both.
One aspect of feature development includes collaborating with Human Factors Research Scientists and Data Acquisition Specialists to help collect relevant, truthed datasets. Also required is working closely with our Performance Analysis Team to ensure that we can measure and validate the performance of the algorithms.


About you
We value the breadth and depth of experience that our people bring to their work. We are seeking people with a good mix of technical competency and personal capability. Specifically, we are looking for people with:

Desirable

How to apply
To apply, please upload your current resume and cover letter outlining your interest in the role. If you are successful for this opportunity a police check is required.
About Seeing Machines
Seeing Machines is currently in a consultation process around a proposed vaccination policy for its Australian offices. The policy proposes to require all employees and visitors to all Seeing Macjomes sites be fully vaccinated. Whilst the policy may or may not be implemented following consultation, Seeing Machines wants to ensure all candidates within our current recruitment processes were aware of this. Should a decision on the policy be made in the coming weeks, further correspondence will be circulated.
Seeing Machines is a world leader in driver-machine interaction. We harness human factors science to create artificial intelligence (AI) technology that observes the driver's attention – reliably, unobtrusively, and in real time – and intervenes seamlessly when necessary.
Specialised computer vision algorithms underpin Seeing Machines' core camera-based driver monitoring technology. Algorithms allow us to precisely track eye gaze, head position and pupil size while our state-of-the-art AI technology analyses the data to quickly and accurately detect driver drowsiness, distraction and microsleep levels. We work with some of the world's leading brands to deliver this technology, helping keep drivers and operators engaged across commercial transport and logistics, automotive, aviation, rail and mining industries.
In automotive, we enable safer Automated Driving (AD) solutions and Advanced Driver Assistance Systems (ADAS) – including the world first camera-based hands-free driving feature, GM Super Cruise. In aviation, our advanced gaze tracking technology understands how pilots interact and monitor instruments – leading to better training and safer operations.
For commercial transport and fleet operators, the Seeing Machines retrofit driver monitoring technology provides real-time intervention for drivers to mitigate the risks associated with driver fatigue and distraction.
https://www.seeingmachines.com/technology/",3.9,Seeing Machines,Canberra,201 to 500 Employees,1999,Company - Public,Computer Hardware Development,Information Technology,$5 to $25 million (USD),0,0,108-138,108,138,123.0,1999.0,21.0
Data & AI Opportunities | Perth,$51K - $61K (Glassdoor Est.),"Date: 31-Aug-2022

Location:
Perth, WA, AU

Department: Consulting

Description:
Job Requisition ID: 27414

Flexible work arrangements - work in a way that suits you best
World-class learning and leadership programs
Industry Leading clients

Whether you’re already located in Perth or considering a moving for the lifestyle at Deloitte, we’re on the lookout for inspired people from all walks of life.

Our Data & AI in Perth is growing more than ever as our clients recognise our talent and the impact that we make – that’s why we need you.

About the team

Deloitte’s Data Analytics & AI practice in Perth is a diverse team comprised of experts across strategy, insight advisory, data engineering, data science and automation. We have a dedicated focus on solving business problems for our clients. Our services range from helping clients understand the potential of Analytics & AI through to designing and implementing solutions. We constantly evaluate new technologies, experiment with new techniques and create leading-edge data and analytics assets that can be used by our clients and practitioners to drive success with Data Analytics & AI.

You will be part of a close, collaborative team that identifies and builds solutions that are practical as well as visionary, and that make an impact that matters. We are currently hiring at Consultant / Senior Consultant levels.


We’re looking for candidates with a combination of the following:

At least 2-4 years’ experience in Data Engineering, Feature Engineering, Software Development and/or Data Science Model Development using advanced statistical and machine learning techniques
Demonstrable experience of one or more relevant programming languages, such as Python, R, Julia, or similar
Experience of different project life cycles and delivery methodologies (waterfall, scrum, agile)
Experience with cloud services (Amazon Web Services, Microsoft Azure or Google Cloud Platform)
Demonstrable experience working in a consulting environment or managing non-technical stakeholders is ideal.
Strong oral and written communication skills, including presentation skills (MS PowerPoint, Word, Excel, Visio)
Data Governance and project management skills will be highly regarded
Bachelor or MS degree in Mathematics, Statistics, Engineering or similar quantitative disciplines.

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space.",4.0,Deloitte,Perth,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),0,0,51-61,51,61,56.0,1850.0,170.0
Data Scientist,$80K - $110K (Glassdoor Est.),"Overview:
Systems Planning and Analysis Australia Pty Ltd (SPA Australia) provides operational analysis and decision support services to the Department of Defence. We draw on a range of data and information sources in order to generate information-rich, user-friendly products that provide insights and recommendations to enhance Defence capability. SPA Australia is growing Australia's sovereign capability through local upskilling of its workforce by drawing on processes and tools used by our parent company SPA US, which has supported the US Department of Defense for the past 49 years. We provide formal and informal training opportunities for our team members.

SPA has a near-term need for a Junior Data Scientist/Analyst to work within a small, highly specialised team to collate, wrangle, transform, analyse and visualise a diverse range of sensitive data in support of specific current and future Navy capabilities.
Responsibilities:


Qualifications:",4.1,"Systems Planning and Analysis, Inc.",Canberra,1001 to 5000 Employees,1972,Company - Private,Aerospace & Defence,Aerospace & Defence,$100 to $500 million (USD),0,0,80-110,80,110,95.0,1972.0,48.0
Customer Facing Data Scientist,$110K - $150K (Glassdoor Est.),"Influence company’s perception of AI and unstructured data!
Relevance AI is reimagining the data people use. Our platform enables better decision-making and insights by taking all data into account, both structured and unstructured. We transform what is today a manual, labour-intensive and inefficient process into a collaborative, automated and measurably impactful process. We’re built for and loved by people in business and data teams who want to get the most from their treasure trove of data.
We’re a close and collaborative team from different expertise and walks of life. We’ve got a big vision and a clear plan on how to get there. We’re looking for someone like you to help us get there.
Why is Relevance the next success story?
View job location on map",5.0,Relevance AI,Sydney,1 to 50 Employees,2004,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),0,0,110-150,110,150,130.0,2004.0,16.0
Data Science Research Scholarships 2022,Employer Provided Salary:$13 Per Hour,"THE OPPORTUNITY
The summer scholarship program offers currently enrolled undergraduate students the opportunity to carry out research projects during summer 2022/2023. The program will run for 8-10 weeks and we have 7 opportunities available. The scholarship will be up to a value of $5000, dependent on duration in the program ($500 per week).
These projects provide hands-on research experience across a range of topics:
Project 1: Investigating DNA methylation landscape of oesophageal cancer using cutting-edge nanopore long-read sequencing
Oesophageal cancer is a poor prognosis cancer and is often diagnosed at late stages. High mutation burden and genome rearrangements are common in this cancer type. The overall aim of this project is to investigate the relationship between the methylation landscape and genomic instability. Nanopore sequencing is an exciting technology enabling simultaneous whole genome sequencing and methylation profiling. This project is suitable for a motivated student familiar with genome data and interested in investigating nanopore methylation profiles in unstable genomic regions of oesophageal cancer.",3.5,The Garvan Institute of Medical Research,Sydney,501 to 1000 Employees,Non-profit Organisation,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1,1,0,13,13,13,13.0,,
Data Analytics Graduate,$78K - $95K (Glassdoor Est.),"At Allianz, we care for all the things that make you, you. For feeling like you belong. For a place where learning never stops. For growing new skills and opening up exciting possibilities. For your curiosity to thrive and help transform an industry. And when life twists, there’s flex for balance and the support you need. So, come and share your ideas, give back and feel proud to be part of a company doing work that matters across climate change and mental health. Let’s care for everyone’s tomorrow so we can create a better future together.
We know that flexible work comes in different forms, that’s why we’re embracing hybrid teams - enabling employees to maintain a balance of working both in the office and remote, supporting the needs of both the business and individual.

Data Analytics Graduate | NSW – Sydney
Be supported to grow and develop your career
Push the status quo",4.0,Allianz Australia,Sydney,10000+ Employees,1890,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,0,78-95,78,95,86.5,1890.0,130.0
Data Scientist (Recommendation Focused),$109K - $120K (Glassdoor Est.),"Job no: XRAN6
What you'll be doing The ideal candidate for this position will build recommendation models that score/rank products according to feature similarity/distance using historical data or product details. You will be expected to develop AI/ML models predicting target variables according to the business needs. To be able to analyse data, identify the potential use cases, build predictive models, build recommendation engines, and advise the optimal solutions to maximise/minimise target variables.
You Could Expect Your Typical Day To Include Some Of The Following Things:
The time is now to be part of the Catch team. No two days are alike, and we are embarking on remarkable growth.",2.8,Catch Of The Day,Melbourne,501 to 1000 Employees,2006,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),0,0,109-120,109,120,114.5,2006.0,14.0
Data Scientist,$100K - $120K (Glassdoor Est.),"Company Description

Since we first opened our doors in 2009, the world of commerce has evolved immensely – and so has Square. After enabling anyone to take a payment and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together. So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book appointments, engage loyal buyers, and hire and pay staff. And across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow all in one place.

Today, we’re a partner to sellers of all sizes – large, enterprise-scale businesses with complex commerce operations, sellers just starting out, as well as merchants who began selling with Square and have grown larger over time. As our sellers scale, so do our solutions. We all grow together.

There is a massive opportunity in front of us. We’re building a business that is big, meaningful, and lasting. And we are helping sellers around the world do the same.",3.6,Afterpay,Sydney,1001 to 5000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $25 million (USD),0,0,100-120,100,120,110.0,2014.0,6.0
Senior Data Scientist,$144K - $170K (Glassdoor Est.),"Senior Data Scientist
VGW is a fast-growing technology company and creator of market-leading online social games. With offices across Australia, USA, Canada, Malta and the Philippines we are on a mission to be the biggest gaming company in the world!
Due to major growth we are expanding our Technology team in Sydney and currently looking for a Senior Data Scientist to join the team.
As a Senior Data Scientist, you'll identify, scope and lead the undertaking of a range of research and modelling projects leveraging all available data assets to help solve complex business problems.
Key responsibilities will include:",3.9,VGW,Sydney,501 to 1000 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,144-170,144,170,157.0,2010.0,10.0
Research Scientist - Efficient machine learning for time-series data,Employer Provided Salary:$103K,"The Opportunity
Our Distributed Sensing Systems (DSS) group is one of the leading large-scale sensing and analytics groups in the world, based in Brisbane, Queensland, Australia. We are part of the Cyber-Physical Research Program at CSIRO’s Data61 Business Unit. The group’s research focuses on creating integrated sensing, AI/ML, and telemetry technologies that will radically improve the cost and quality of data gathering on a large scale to enhance the understanding of our natural and built environments.
An innovative and collaborative workplace with fantastic flexibility
Work in a world-class research & development precinct
Join CSIRO and support Australia's premier scientific organisation!
This is a research scientist position, expected to conduct research on efficient machine learning algorithms for time-series data on edge devices and implement such algorithms on edge hardware, for projects in digital agriculture – eGrazor, digital manufacturing – FDMF/Maven, and smart building/digital twin domains. Specifically, the position will develop lightweight ML models to analyse multi-modal time-series data from multiple edge devices and sensors such as temperature/humidity, or accelerometer, to understand/classify the context in which a sensor device operates, or identify activities of the target object.",3.7,CSIRO,Brisbane,5001 to 10000 Employees,1926,Government,National Services & Agencies,Government & Public Administration,$500 million to $1 billion (USD),0,0,103,103,103,103.0,1926.0,94.0
Principle Data Scientist,Employer Provided Salary:$190K - $205K,"Work for a globally recognised Finance company
Provide technical leadership in the field of big data and data science
Manage a team of Senior DS and DS to deliver data driven solutions
Principle Data Scientist - Global Finance Company
The Company
My client is reputed Global Finance company with over 30 year's experience in the Australian market and an extensive network of regional offices - they provide finance, insurance and fleet management services across the world. They are looking for a passionate Principle Data Scientist to provide technical leadership in the field of big data and data science while managing a team of Senior and mid-level Data Scientists.

BBBH51033_166269724690929",3.8,Bluefin Resources,Sydney,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,0,190-205,190,205,197.5,,
Data Scientist,$96K - $108K (Glassdoor Est.),"Data Scientist

About Horizon Power
Horizon Power is Western Australia’s regional and remote power provider. We are passionate about what we do and strive to ensure our customers receive safe and reliable power to their homes, businesses, and communities.

We're a State Government-owned, commercially focused corporation in regional WA. We do everything we can to provide quality, safe and reliable power to residents and major industries. We're doing our best to safeguard what's special about regional WA.


As part of Horizon Power’s digital transformation the Data Science team is equipped with a wealth of energy, asset and operational data. Reporting to the Lead Data Scientist the Data Scientist will develop and promote the use of data and advanced analytics as a mechanism to increase Horizon Power’s value and support its strategic and operational objectives.

The key aspects of the role include:



In addition to sharing our passion, to be successful in this role you will have:



• Experience applying Data Modelling and Optimisation Techniques such as:
o K-Means, Random Forests, Neural Networks, Principal Components Analysis, Regression, Forecasting etc.

We care about our employees, as our focus is on people, safety and wellbeing to create a united and inspiring culture. That's why we offer a range of attractive remuneration packages and flexible working arrangements. If you want to be part of a business that's always looking for new ways in delivering energy solutions for regional growth and vibrant communities, we want to hear from you.

We value an inclusive and diverse workplace and strongly encourage Aboriginal and Torres Strait Island people and people with diverse background to apply.


If you’re excited about the opportunity to be part of a high performing organisation undertaking incredible and diverse challenges whilst furthering your career, this could be the role for you

Applications close 21/09/2022.

Horizon Power reserves the right to withdraw this advertisement at any time.",4.6,Horizon Power,Bentley,Unknown,Company - Private,Energy & Utilities,"Energy, Mining, Utilities",Unknown / Non-Applicable,-1,0,0,96-108,96,108,102.0,,
Conversational Artificial Intelligence Intern,Employer Provided Salary:$30 Per Hour,"Introduction
This document describes the skills, background and experience recommended for a Conversational AI intern (CAIC) working at
Intellificial and managing our CAI platform tools.
The team member described here would typically start their activities as a CAIC by undergoing training about our platform fundamentals which is suitable for enhancing or customizing solutions already designed and built.
Role description
The Conversational AI Consultant is typically a combination of ML, web developer with strong knowledge in the structure of language and its application to computer systems, and with commercial and business awareness. The Conversational AI Consultant builds, maintains and develops CAI solutions (VAs, Digital Employees, Chatbots, etc.), in domains related to the partner, the company or the specific department building the solution.",-1.0,Intellificial,Melbourne,-1,-1,-1,-1,-1,-1,1,0,30,30,30,30.0,1.0,-1.0
Data Scientist - 12mth FTC,$146K - $160K (Glassdoor Est.),"Data Scientist - 12mth FTC

Date: 21-Aug-2022
Location: Sydney (Macquarie Park HQ), Australia
Company: Singtel Group
About Us
Optus’ vision is to become Australia’s most loved everyday brand with lasting customer relationships, a brand that excites customers by bringing together their digital life with their daily lives. The business is focused on designing innovative products and services that entertain customers and enhance their lives, delivered with engaging service and a network where it matters. At Optus we don’t sit back and let the future happen to us – we’re out there marking a difference. By expanding into new technology and relentlessly improving every day, we’re working to create a better tomorrow for all Australians.",3.8,Optus,Sydney,5001 to 10000 Employees,1992,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$2 to $5 billion (USD),0,0,146-160,146,160,153.0,1992.0,28.0
Data Scientist,Employer Provided Salary:$140K - $150K,"Financial Services
Data Transformation
Data Scientist Role supporting Customer Analytics
My client is an established financial services business that is embarking on a major data transformation project. The Data Scientist will play a major role in this transformation , improving the utilisation of insights and elevating the data maturity across the business to support research and analytics initiatives.
Whilst this role sits within the Analytics team, it represents the first Data Science hire to the business, presenting both challenge and opportunity.
Key Accountabilities

BBBH51028_166271200440072",3.8,Bluefin Resources,Sydney,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,0,140-150,140,150,145.0,,
